name,lat,lon,difficulty,national_park
Crumbaugh Lake via Cold Boiling Lake Trail,40.45996,-121.474,3,Lassen Volcanic National Park
North Rim Trail,37.71381,-119.7324,5,Yosemite National Park
Cathedral Lakes Trailhead to Yosemite Valley via Half Dome,37.87204,-119.3836,5,Yosemite National Park
Eureka Dunes,37.11194,-117.68,3,Death Valley National Park
Cueva Valdez to Arch Rock Trail,34.0195,-119.6847,3,Channel Islands National Park
"King Creek Falls, Bench and Seaford Lakes",40.46061,-121.459,3,Lassen Volcanic National Park
Kings River Trail,36.86418,-119.0282,1,Sequoia National Park
Bench Trail,36.48772,-121.1516,3,Pinnacles National Park
Harden Lake Trail,37.87227,-119.6492,3,Yosemite National Park
John Muir Trail: Yosemite Valley to Tenaya Lake,37.73261,-119.5578,5,Yosemite National Park
Jack Main Canyon and Tilden Lake Trail,37.94644,-119.7872,5,Yosemite National Park
Quail Mountain Trail,34.04105,-116.1852,5,Joshua Tree National Park
Butte Lake to Snag Lake loop,40.56501,-121.3017,3,Lassen Volcanic National Park
King's Creek Falls to Devil's Kitchen,40.4606,-121.4594,5,Lassen Volcanic National Park
Father Crowley Vista,36.35184,-117.5504,1,Death Valley National Park
Wonderland Wash,34.02515,-116.1419,3,Joshua Tree National Park
Buena Vista Crest Trail to Royal Arch Lake,37.67023,-119.6281,3,Yosemite National Park
The Grandstand via Racetrack Trail,36.69389,-117.5713,1,Death Valley National Park
Diamond Peak Trail,40.44493,-121.5268,3,Lassen Volcanic National Park
Joshua Tree West Side Trail,34.08971,-116.2589,3,Joshua Tree National Park
Koip Peak Trail,37.89063,-119.2623,5,Yosemite National Park
Redwood Canyon to Redwood Creek,36.70907,-118.9214,3,Kings Canyon National Park
Ottoway Lakes Trail,37.67135,-119.585,3,Yosemite National Park
Old Big Oak Flat to Yosemite Falls,37.71389,-119.7324,3,Yosemite National Park
Tuolumne Meadows lodge to Vogelsang Camp,37.87756,-119.3349,3,Yosemite National Park
Laurel Lake Trail,37.94645,-119.7872,5,Yosemite National Park
Tioga Road to Yosemite Falls and Eagle Peak,37.85198,-119.5778,3,Yosemite National Park
Bald Hills Road,41.20827,-123.7555,5,Redwood National Park
Smith Peak Trail,37.92644,-119.795,5,Yosemite National Park
Joshua Tree Short Loop Trail and Canyon View Trail Hike,34.07442,-116.3898,3,Joshua Tree National Park
Porcupine Wash to Monument Mountain Trail,33.84607,-115.7775,5,Joshua Tree National Park
Paradise Valley Trail to Woods Creek Crossing,36.79495,-118.5829,3,Kings Canyon National Park
Tioga Pass Road to Yosemite Valley,37.80664,-119.5455,3,Yosemite National Park
Jumbo Rocks Campground Loop,33.99257,-116.0675,1,Joshua Tree National Park
Palisade Basin,37.16926,-118.566,5,Kings Canyon National Park
Lost Man Creek Trail,41.327,-124.0151,3,Redwood National Park
"Mirror Lake, Valley Loop Trail",37.73235,-119.559,3,Yosemite National Park
Dog Lake Trail and Lambert Dome Trail Loop,37.87765,-119.3536,3,Yosemite National Park
Coastal Trail: Demartin Section,41.60489,-124.1013,3,Redwood National Park
Lost Lake Trail,36.74321,-118.7751,5,Kings Canyon National Park
Saline Valley OHV Road,36.3308,-117.7147,3,Death Valley National Park
Prospect Peak Trail,40.56515,-121.3014,5,Lassen Volcanic National Park
Lower Twin and Snag Lakes Loop Trail,40.56379,-121.302,3,Lassen Volcanic National Park
Lower Gaylor Lake Trail,37.87963,-119.3029,1,Yosemite National Park
Chain Lakes Trail from Clark Range Trailhead,37.531,-119.4476,3,Yosemite National Park
Azalea Campground to Big Stump Grove,36.74348,-118.9714,3,Kings Canyon National Park
Mt. Whitney Loop,36.79494,-118.5829,5,Kings Canyon National Park
Dorst / Lost Grove Trail,36.63536,-118.8156,3,Sequoia National Park
Kearsarge Pass Trail to John Muir Trail Loop,36.77252,-118.3411,5,Sequoia National Park
Delilah Fire Lookout OHV Trail,36.75104,-119.0554,1,Sequoia National Park
Pelican Bay Trail,34.01749,-119.6834,3,Channel Islands National Park
Peaks View Day Use Area to Bear Gulch Day Use Area Trail,36.48248,-121.1619,3,Pinnacles National Park
Cathedral Peak: Climber's Approach,37.87346,-119.3822,5,Yosemite National Park
Eagle Cliffs Lucky Boy Vista loop,34.0093,-116.0558,3,Joshua Tree National Park
O'Shaughnessy Dam to Tuolumne River,37.94601,-119.7882,1,Yosemite National Park
Ibex Dunes Trail,35.73869,-116.3824,3,Death Valley National Park
Park Blvd Scenic Drive,34.06802,-116.0239,1,Joshua Tree National Park
Santa Rosa Island - Pier to Ford Point,34.00762,-120.0486,3,Channel Islands National Park
Shepherd Saddle Road,36.52563,-118.8903,3,Sequoia National Park
Bubbs Creek Trail,36.77268,-118.3402,5,Kings Canyon National Park
Chihuahua Mine,36.45332,-118.5967,5,Sequoia National Park
Torrey Pines Trail,33.98371,-120.0192,1,Channel Islands National Park
Tuolumne Meadows to Tenaya Lake via Pacific Crest and Glen Aulin Trails,37.87188,-119.3738,3,Yosemite National Park
Lobo Canyon Trail,34.00319,-120.0911,1,Channel Islands National Park
Joshua Tree Queen Mountain,34.0237,-116.0777,3,Joshua Tree National Park
Hexahedron Mine Trail,33.92355,-116.0542,3,Joshua Tree National Park
Keys View Nature Trail,33.92719,-116.1874,1,Joshua Tree National Park
Tuolumne Meadow to White Wolf via Pacific Crest Trail,37.87206,-119.3706,5,Yosemite National Park
High Sierra Trail: Ninemile Creek to Bearpaw Meadow,36.55464,-118.7487,5,Sequoia National Park
Huckleberry Meadow Trail,36.58474,-118.7498,1,Sequoia National Park
North Lake Loop via Lamarck Col and Alpine Col,37.22668,-118.628,5,Kings Canyon National Park
Horseshoe Lake Trail,40.46688,-121.3095,1,Lassen Volcanic National Park
Snow Creek Trail to Yosemite Falls Trail via North Dome,37.73996,-119.5596,5,Yosemite National Park
Lyons Ranch Trail,41.14824,-123.8931,3,Redwood National Park
"Smugglers Road, Scorpion Canyon and Potato Harbor",34.04987,-119.5562,3,Channel Islands National Park
Pushawalla Plateau and Canyon Trail,33.90111,-116.0859,3,Joshua Tree National Park
Old Big Oak Flat Road,37.7148,-119.7349,3,Yosemite National Park
Burnt Hill Trail,34.0714,-116.3911,3,Joshua Tree National Park
Lippincott Mine Road,36.62027,-117.648,5,Death Valley National Park
General Sherman via Lodgepole,36.6046,-118.7257,3,Sequoia National Park
Mount Whitney via Cottonwood Lakes,36.45356,-118.1704,5,Sequoia National Park
Black Eagle Mine OHV Trail,33.82554,-115.7599,3,Joshua Tree National Park
Foresta Falls Trail,37.69844,-119.7572,1,Yosemite National Park
Chilnualna Falls Extended Loop,37.54838,-119.634,5,Yosemite National Park
Golden Bell and Eldorado Mine Trail,33.93303,-115.959,3,Joshua Tree National Park
Lily Pond Nature Trail,40.53652,-121.5619,1,Lassen Volcanic National Park
Quail Wash to West Entrance Wash Trail,34.04029,-116.1978,3,Joshua Tree National Park
Upper Colony Mill Trail,36.5713,-118.808,3,Sequoia National Park
Silver Bell Mine Hike,33.93303,-115.9597,3,Joshua Tree National Park
Young Lakes and Mount Conness Summit,37.87742,-119.3536,5,Yosemite National Park
"Happy Isles, Vernall Falls, Half Dome, Tenaya Lake, and Mirror Lakes Loop",37.73235,-119.5595,5,Yosemite National Park
Moorten's Mill Trail,33.73692,-115.8108,1,Joshua Tree National Park
North Grove and Sunset Trail,36.74707,-118.9748,1,Kings Canyon National Park
East Point Trail,34.00291,-120.0509,3,Channel Islands National Park
Ubehebe Peak Trail,36.69439,-117.5715,5,Death Valley National Park
Bear Hill Trail to Moro Rock Trail Loop,36.56477,-118.773,1,Sequoia National Park
Chloride City OHV Trail,36.75057,-116.9367,3,Death Valley National Park
Telescope Peak via Shorty's Well Route,36.22563,-116.881,5,Death Valley National Park
Corral Wall Trail,34.08599,-116.1404,3,Joshua Tree National Park
Upper and Lower Twin Lake Trail,40.49453,-121.4228,1,Lassen Volcanic National Park
Circle Meadows via Congress Trail,36.58456,-118.7498,1,Sequoia National Park
Bumpass Hell Trail  [CLOSED],40.46601,-121.5141,1,Lassen Volcanic National Park
Visitor Center to Peaks View Day Use Area,36.49439,-121.1459,1,Pinnacles National Park
Viola Falls Trail,36.73995,-118.9625,3,Kings Canyon National Park
Peaks View Day Use Area to Old Pinnacles Trailhead,36.48247,-121.1619,1,Pinnacles National Park
California Riding & Hiking Trail,34.07424,-116.0318,5,Joshua Tree National Park
Dog Dome and Dog Lake,37.87836,-119.33,1,Yosemite National Park
Indian Pass,36.54764,-116.89,5,Death Valley National Park
"Buena Vista, Royal Arch, and Crescent Lakes Loop",37.54839,-119.63,5,Yosemite National Park
Coffin Peak,36.21773,-116.7226,3,Death Valley National Park
"Merced Lake to Half Dome Loop via John Muir, Pack and Cloud Rest Trails",37.73532,-119.5665,5,Yosemite National Park
Manzanita and Azalea Trail,36.73996,-118.9625,3,Kings Canyon National Park
Ridgecrest to Death Valley OHV Trail,35.61407,-117.6707,3,Death Valley National Park
Zumwalt Meadow Trail to Kanawyers Trail Loop,36.79374,-118.5984,1,Kings Canyon National Park
King Creek Falls and Bench Lake Loop,40.46061,-121.459,3,Lassen Volcanic National Park
Mammoth Peak,37.87961,-119.303,5,Yosemite National Park
Death Valley Scenic Drive OHV Trail,37.01767,-117.411,3,Death Valley National Park
Ah-Pah Interpretive Trail,41.45094,-124.038,3,Redwood National Park
Nine Lake Basin,36.5549,-118.749,5,Sequoia National Park
John Muir to Clouds Rest to Mist Trail,37.87314,-119.3828,3,Yosemite National Park
Mt. Perry,36.22096,-116.7265,3,Death Valley National Park
Lake Eleanor Hike,37.97397,-119.8822,3,Yosemite National Park
Live Oak Tank and Ivanpah Tank,34.00125,-116.0499,3,Joshua Tree National Park
Scorpius Arch Loop,34.10363,-115.451,1,Joshua Tree National Park
Inspiration Point Trail,40.46657,-121.3078,3,Lassen Volcanic National Park
Santa Cruz Island: Del Norte Campground to Chinese Harbor,34.01101,-119.6603,3,Channel Islands National Park
King's Canyon to Mt Whitney,36.79469,-118.5828,5,Kings Canyon National Park
Crest View Trail,34.00955,-116.3059,1,Joshua Tree National Park
White Wolf to Pate Valley Trail,37.86994,-119.6488,3,Yosemite National Park
Forest Lake Trail,40.43104,-121.536,3,Lassen Volcanic National Park
"Twin Lakes, Horseshoe Lake, and Summit Lake",40.49452,-121.4231,3,Lassen Volcanic National Park
Hanaupah Canyon Trail,36.22563,-116.8815,3,Death Valley National Park
Monarch Canyon/Mine Trail,36.73672,-116.9125,1,Death Valley National Park
Matterhorn Canyon and the Sawtooth Range Trail,38.14677,-119.3805,5,Yosemite National Park
Sand Dunes via Mecca Dale Road,33.82806,-115.7591,1,Joshua Tree National Park
Cahoon Rock from South Fork Campground,36.35034,-118.765,5,Sequoia National Park
Kings River,36.79039,-118.6678,1,Kings Canyon National Park
Tenaya Lake to May Lake to Mount Hoffman,37.82579,-119.4702,5,Yosemite National Park
North Wilderness Trail to Twin Knolls,36.49211,-121.2099,3,Pinnacles National Park
Roads End to Onion Valley Trail,36.7947,-118.582,5,Kings Canyon National Park
Turkey Flats Sand Dunes,33.90174,-115.8348,3,Joshua Tree National Park
Benson Pass - Northeast Yosemite Grand Tour,37.8789,-119.3588,5,Yosemite National Park
Emerald Lake,36.59654,-118.7343,3,Sequoia National Park
Monument Mountain from Pinkham Canyon Trailhead,33.74828,-115.8242,5,Joshua Tree National Park
Pinnacles Overlook Trail,36.47762,-121.226,1,Pinnacles National Park
Marble Canyon Petroglyphs,36.64162,-117.2915,1,Death Valley National Park
John Muir Trail: Tenaya Lake to Reds Meadow,37.8258,-119.4693,3,Yosemite National Park
Sawtooth Pass to Timber Gap Trail,36.45329,-118.5967,5,Sequoia National Park
Ashford Canyon Trail,35.91989,-116.682,3,Death Valley National Park
Echo Ridge & Echo Peaks,37.8733,-119.382,3,Yosemite National Park
John Muir Trail: Cathedral Lakes Trail to Clouds Rest,37.87337,-119.382,3,Yosemite National Park
Tenaya Lake Trail,37.83428,-119.4632,3,Yosemite National Park
Black Mountain Trail,33.99341,-120.0438,3,Channel Islands National Park
Yosemite to Agnew Meadows,37.73804,-119.568,3,Yosemite National Park
Parker Pass to Lyell Canyon,37.89098,-119.2626,5,Yosemite National Park
Swaney Loop,36.61949,-117.3302,3,Death Valley National Park
Holter Ridge via Lost Man Trail,41.2641,-123.9877,3,Redwood National Park
Sifford Lakes Trail,40.46056,-121.4594,1,Lassen Volcanic National Park
Joshua Tree Burro Loop Trail Hike,34.08972,-116.2589,3,Joshua Tree National Park
Cathedral Peak: Southeast Buttress,37.87331,-119.3826,3,Yosemite National Park
Helios Canyon,36.20145,-116.7699,5,Death Valley National Park
North Canyon Trail,34.0812,-116.2419,3,Joshua Tree National Park
Bathtub Lake Trail,40.5652,-121.3013,1,Lassen Volcanic National Park
Merced Lake High Sierra Camp Trail,37.72958,-119.5595,5,Yosemite National Park
Wonderland Of Rocks Traverse,34.04113,-116.1857,5,Joshua Tree National Park
"Tuolome, Sunrise and Merced Lakes, and Vogelslang Loop",37.87187,-119.3492,3,Yosemite National Park
Taft Point via Four Mile Trail,37.73395,-119.6017,5,Yosemite National Park
Gin Flat Loop,37.75965,-119.797,3,Yosemite National Park
Visitor Center to Bacon Ranch,36.49441,-121.145,1,Pinnacles National Park
Historic Stovepipe Well,36.65905,-117.0793,1,Death Valley National Park
Burnt Hill Trail and Canyon View Trail Loop,34.07513,-116.3879,3,Joshua Tree National Park
East Kennedy Lake Trail,36.79343,-118.6686,5,Kings Canyon National Park
McArthur Creek Loop Trail,41.28719,-124.0568,3,Redwood National Park
Bumpass Hell from Kohm Yah-mah-nee visitor center,40.43769,-121.5329,3,Lassen Volcanic National Park
Kaleidoscope Canyon Trail,35.90761,-116.6207,5,Death Valley National Park
Crescent Lake to Buena Vista Lake,37.56612,-119.5326,3,Yosemite National Park
Tamarack Creek Trail,37.78379,-119.7417,3,Yosemite National Park
Drake Lake Trail,40.44314,-121.3974,3,Lassen Volcanic National Park
Young Lakes Trail,37.87203,-119.3707,3,Yosemite National Park
Harry Wade Road OHV Trail,35.89917,-116.6558,1,Death Valley National Park
High Sierra Trail to Lakes Trail,36.5547,-118.7488,3,Sequoia National Park
Covington Trail,34.09423,-116.3703,3,Joshua Tree National Park
Ireland Lake Trail,37.87746,-119.3349,3,Yosemite National Park
Negro Hill Trail,34.02376,-116.0776,3,Joshua Tree National Park
Johnson Canyon OHV Trail,36.09819,-116.845,3,Death Valley National Park
Golden Bee Mine Trail,33.92521,-115.9288,5,Joshua Tree National Park
Yosemite Valley East Loop,37.74713,-119.5906,5,Yosemite National Park
Kaweah River Trail,36.52104,-118.7713,5,Sequoia National Park
Tall Trees Access Road,41.20819,-123.993,3,Redwood National Park
Morbid Mound Trail,34.09317,-116.1559,3,Joshua Tree National Park
Avalanche Pass Trail to Roaring River Via Kanawyers Trail,36.7947,-118.5829,5,Kings Canyon National Park
Cabin Creek Trail,36.64663,-118.8148,3,Sequoia National Park
Walker Lake Trail,37.89058,-119.2623,3,Yosemite National Park
Pinto Lake Trail,36.45331,-118.596,5,Sequoia National Park
Vidette Meadow Trail,36.77253,-118.3412,5,Kings Canyon National Park
Candlestein Pass Trail,34.01195,-116.1681,1,Joshua Tree National Park
Bishop Pass Trail,37.16922,-118.5659,5,Kings Canyon National Park
Summit Lake to Kings Creek Trail,40.49803,-121.4271,1,Lassen Volcanic National Park
Lower Telephone Canyon,36.48687,-117.1992,3,Death Valley National Park
Bench Lake Trail,37.00979,-118.3274,5,Kings Canyon National Park
Mastodon Peak and Eagle Mountain,33.73717,-115.8107,3,Joshua Tree National Park
Quail Mountain from Covington Crest Trailhead,34.00958,-116.305,3,Joshua Tree National Park
Junction Meadow Via Kearsarge Pass and Bubbs Creek Trails,36.77249,-118.3412,5,Kings Canyon National Park
The Farm Trail,41.52675,-124.0791,1,Redwood National Park
Dream Lake Trail,40.44319,-121.3974,1,Lassen Volcanic National Park
Sugar Pine Grove Trail,37.76352,-119.8425,1,Yosemite National Park
Crescent Meadow to Tamarack Lake,36.55465,-118.7487,5,Sequoia National Park
Tuolumne Meadows to Vogelsang Pass,37.87729,-119.3532,5,Yosemite National Park
John Muir Trail From Tioga Pass Road to the Merced River,37.87335,-119.3826,5,Yosemite National Park
Hetch Hechy Reservoir to Sierra Crest Backpacking Loop,37.94643,-119.7875,5,Yosemite National Park
Bearpaw Meadow Via Paradise Ridge Trail,36.46509,-118.6709,3,Sequoia National Park
Yosemite High Country Open Loop,37.82575,-119.47,5,Yosemite National Park
Love Land Wash,34.00938,-116.0555,1,Joshua Tree National Park
Little Bridge Canyon Trail,36.60106,-117.0966,5,Death Valley National Park
Tule Springs,36.24328,-116.8816,1,Death Valley National Park
Clark Range Viewpoint,37.74499,-119.8014,3,Yosemite National Park
Corral Meadow Loop Trail,40.48827,-121.4223,3,Lassen Volcanic National Park
Rowell Trailhead to Comanche Meadows,36.72279,-118.765,5,Kings Canyon National Park
Westfall Meadows Trail,37.67034,-119.628,1,Yosemite National Park
Tamarack Flat to Yosemite Valley,37.75212,-119.7369,5,Yosemite National Park
Big SEKI Loop,36.79608,-118.5832,5,Kings Canyon National Park
McCabe Lakes Trail,38.10867,-119.2788,3,Yosemite National Park
Generals Highway Scenic Drive,36.48604,-118.8376,1,Sequoia National Park
Tharp's Log and Huckleberry Trail Loop,36.55489,-118.749,1,Sequoia National Park
Skunk Point Loop,33.97871,-120.0104,1,Channel Islands National Park
Wowona to Half Dome to Yosemite Valley,37.54839,-119.63,5,Yosemite National Park
Vogelsang Basin Loop via John Muir Trail,37.87196,-119.3492,3,Yosemite National Park
Twin Meadows Trail,40.46002,-121.4746,3,Lassen Volcanic National Park
Lake Eleanor to Laurel Lake,37.97386,-119.8824,5,Yosemite National Park
Onion Valley to Horseshoe Meadows,36.77252,-118.3412,5,Sequoia National Park
Deer Cove To Cedar Grove,36.80398,-118.7138,5,Kings Canyon National Park
Old Dale Road: Pinto Basin Road to Route 62,33.82808,-115.7589,3,Joshua Tree National Park
Negropolis Trail,34.0656,-116.229,1,Joshua Tree National Park
Skidoo OHV Road,36.38589,-117.1509,3,Death Valley National Park
Yosemite Creek Trail to Yosemite Creek Campground,37.85196,-119.5778,3,Yosemite National Park
Manly Beacon via Zabriskie Point and Gower Gulch,36.42094,-116.81,3,Death Valley National Park
Hidden Valley OHV Drive,36.75999,-117.5423,3,Death Valley National Park
Cascade Creek from Tamarack Campground Trail,37.75213,-119.7369,3,Yosemite National Park
"Red Canyon, Manly Beacon, Zabriskie Point Loop",36.4208,-116.8103,3,Death Valley National Park
Raker Peak Loop,40.51578,-121.465,3,Lassen Volcanic National Park
Merced River High Trail,37.73256,-119.5578,5,Yosemite National Park
Crystal Lake Trail,40.45434,-121.2961,3,Lassen Volcanic National Park
Reggie Dome,34.0409,-116.1852,1,Joshua Tree National Park
Paradise Peak,36.46497,-118.6709,5,Sequoia National Park
Pride Rock,36.60836,-117.1441,1,Death Valley National Park
Huckleberry Trail to Alta Trail Loop,36.56486,-118.7727,3,Sequoia National Park
Santa Barbara Island Loop,33.48152,-119.0295,3,Channel Islands National Park
South Fork of the Tuolumne Trail,37.78432,-119.7413,3,Yosemite National Park
Pohono Trail via McGurk Meadow Trail,37.67049,-119.6279,3,Yosemite National Park
Visitor Contact Station to Vista Point,36.47744,-121.2254,1,Pinnacles National Park
Rattlesnake Canyon from Indian Cove Picnic Area,34.08599,-116.1403,1,Joshua Tree National Park
Scotty's Spring,35.91984,-116.6824,5,Death Valley National Park
Pinon Mesa via Hummingbird Spring Trail,36.24851,-117.1272,3,Death Valley National Park
White Wolf to Upper Yosemite Falls to Yosemite Valley Lodge,37.86983,-119.6489,5,Yosemite National Park
White Mountain via Sawmill Walk-in Campground,37.95597,-119.2665,5,Yosemite National Park
Aspen Valley Trail,37.8841,-119.8508,5,Yosemite National Park
Jakey Lake Trail,40.46698,-121.3094,1,Lassen Volcanic National Park
White Wolf to Smith Meadow Trail,37.87246,-119.6493,3,Yosemite National Park
Mather Ranger Station to Smith Meadow Trail,37.89321,-119.841,3,Yosemite National Park
Crescent Lake from Chilnualna Falls Trailhead,37.548,-119.6345,5,Yosemite National Park
"Trans Sierra Trip: Colby Pass Trail, High Sierra Trail, John Muir Trail, Mount Whitney, PCT",36.74089,-118.7384,5,Sequoia National Park
Tamarack Creek to El Capitan,37.78419,-119.7411,5,Yosemite National Park
"Butte Lake, Cluster Lakes and Cinder Cone Loop",40.56481,-121.3018,5,Lassen Volcanic National Park
Big 4 Mines OHV Trail,36.34264,-117.3886,1,Death Valley National Park
Careys Castle Trail [CLOSED],33.69963,-115.678,3,Joshua Tree National Park
Jack Gunn Maltese Peak Trail,36.43698,-117.607,3,Death Valley National Park
Jubilee Mountain,35.91015,-116.5793,5,Death Valley National Park
Big Oak Flat Road to Tuloumne Meadows,37.71447,-119.7363,5,Yosemite National Park
White Wolf to Aspen Valley Trail,37.87234,-119.6493,3,Yosemite National Park
Miguel Meadow to Lake Eleanor to Laurel Lake Loop,37.94645,-119.7875,3,Yosemite National Park
Mount Whitney from Cottonwood Lakes Walk in Campground,36.45314,-118.1698,5,Sequoia National Park
Grand Canyon of the Tuolumne and Rogers Lake,37.86983,-119.6489,5,Yosemite National Park
Tamarack Flat to Eagle Peak,37.75067,-119.7335,5,Yosemite National Park
Hetch Hetchy to Yosemite Valley,37.87995,-119.8498,5,Yosemite National Park
Elephant Seal Cove Trail,33.48146,-119.0295,3,Channel Islands National Park
Silver Lake to Yosemite Village,37.78258,-119.1285,5,Yosemite National Park
Pleasant Valley To El Dorado Mine and Pinto Basin,33.92358,-116.0541,3,Joshua Tree National Park
Inyo Mine Trail,36.49337,-116.7038,3,Death Valley National Park
May Lake Camp to Yosemite Valley,37.81176,-119.509,5,Yosemite National Park
Visitor Center to Butterfield Homestead Trail,36.49437,-121.1458,1,Pinnacles National Park
Redwood Creek Trail,36.70906,-118.9214,3,Kings Canyon National Park
Rae Lake via Bubbs Creek,36.79494,-118.5829,5,Kings Canyon National Park
Poopenaut Valley Trail,37.91005,-119.8147,5,Yosemite National Park
Mt. Lyell Base via John Muir and Rush Creek Trail,37.78311,-119.1279,5,Yosemite National Park
Titus Canyon Narrows,36.82184,-117.1742,1,Death Valley National Park
Florence Lake via Kings Canyon on the John Muir and Pacific Crest Trail,36.79494,-118.5829,5,Kings Canyon National Park
Lake Eleanor Campground,37.97428,-119.9027,3,Yosemite National Park
White Wolf to Piute Creek and the Grand Canyon of the Tuolumne River,37.86983,-119.6489,5,Yosemite National Park
White Wolf to Aspen Valley Trail,37.86981,-119.6486,3,Yosemite National Park
Goler Wash and Mengal Pass Route,36.0337,-117.2816,5,Death Valley National Park
Boiling Springs Lake via Kings Creek and Pacific Crest Trail,40.49455,-121.4231,5,Lassen Volcanic National Park
Diving Board,37.73477,-119.5659,5,Yosemite National Park
Bishop OHV Loop,37.3714,-118.3968,3,Kings Canyon National Park
Montañon Ridge Loop,34.0493,-119.5628,5,Channel Islands National Park
Rattle Snake Canyon to Oh-Bay-Yo-Yo Shelter Hike,34.09307,-116.1563,3,Joshua Tree National Park
Arch Point Loop Trail,33.48062,-119.0295,3,Channel Islands National Park
"Snow Creek, May Lake and Clouds Rest Loop",37.73936,-119.57,5,Yosemite National Park
John Muir Trail,36.58686,-118.2401,3,Yosemite National Park
Porcupine Wash Ruby Lee Mill Site Trail,33.84594,-115.7776,3,Joshua Tree National Park
"5 Tanks Including Twin Tanks, Ivanpah and Live Oak Tanks",33.98986,-116.0232,3,Joshua Tree National Park
Pinto Basin Fried Liver Wash,33.91086,-115.8652,3,Joshua Tree National Park
Rock Caves Loop,34.01167,-116.162,3,Joshua Tree National Park
Covington Loop Segment and Deer Horn Trail,34.03196,-116.3142,3,Joshua Tree National Park
"North Dome, Tenaya Lake, Half Dome and Happy Isles via Snow Creek and John Muir Trail",37.74842,-119.5874,5,Yosemite National Park
Hunter Mountain OHV Road,36.60175,-117.4608,3,Death Valley National Park
Alger Lakes via Mono Pass and Parker Pass Trails,37.89104,-119.262,5,Yosemite National Park
Death Valley Buttes,36.72391,-116.978,5,Death Valley National Park
Wetland Boardwalk,41.28686,-124.0897,1,Redwood National Park
Juniper Lake to Butte Lake Loop,40.46665,-121.3092,5,Lassen Volcanic National Park
Bridalveil Creek Campground to Ostrander Lake Loop,37.66364,-119.6245,3,Yosemite National Park
Tenaya Lake to Half Dome Loop,37.82686,-119.4684,5,Yosemite National Park
Emerald Lake Trail,40.31177,-105.6453,3,Rocky Mountain National Park
Sky Pond via Glacier Gorge Trail,40.31052,-105.6403,5,Rocky Mountain National Park
Gem Lake Trail,40.39644,-105.5129,3,Rocky Mountain National Park
The Loch Lake Trail via Glacier Gorge Trail,40.31047,-105.6403,3,Rocky Mountain National Park
Alberta Falls Trail,40.31052,-105.6403,1,Rocky Mountain National Park
Chasm Lake,40.27267,-105.5568,5,Rocky Mountain National Park
Dream Lake Trail,40.31194,-105.6456,1,Rocky Mountain National Park
Bear Lake Nature Trail,40.31191,-105.6457,1,Rocky Mountain National Park
Twin Sisters Peak Trail,40.30648,-105.5371,5,Rocky Mountain National Park
Ouzel Falls via Wild Basin Trail from Sandbeach Lake,40.21337,-105.5504,3,Rocky Mountain National Park
Deer Mountain Trail,40.3868,-105.6097,3,Rocky Mountain National Park
Lake Haiyaha,40.3119,-105.646,3,Rocky Mountain National Park
"Mills Lake, Black Lake, Frozen Lake Trail",40.31051,-105.64,5,Rocky Mountain National Park
Fern Lake Trail,40.35486,-105.6311,3,Rocky Mountain National Park
Bridal Veil Falls via Cow Creek Trail,40.43087,-105.5005,3,Rocky Mountain National Park
The Keyhole and Longs Peak via Longs Peak Trail,40.27212,-105.5568,5,Rocky Mountain National Park
Bierstadt Lake Loop Trail,40.32048,-105.6236,3,Rocky Mountain National Park
Glacier Gorge Trail,40.31081,-105.6397,1,Rocky Mountain National Park
Cub Lake Trail Loop,40.35552,-105.616,3,Rocky Mountain National Park
Mount Ida Trail,40.42021,-105.8113,5,Rocky Mountain National Park
Adams Falls Trail,40.23941,-105.7999,1,Rocky Mountain National Park
Flattop Mountain Trail,40.31198,-105.6454,5,Rocky Mountain National Park
Sprague Lake Trail,40.32038,-105.6077,1,Rocky Mountain National Park
Cascade Falls,40.25664,-105.8144,1,Rocky Mountain National Park
Hallett Peak,40.31212,-105.6463,5,Rocky Mountain National Park
Timberline Falls and Sky Pond Trail,40.31192,-105.6456,5,Rocky Mountain National Park
Odessa Lake Via Fern Lake Trail,40.31176,-105.6445,3,Rocky Mountain National Park
High Dune Trail,37.73995,-105.5167,5,Great Sand Dunes National Park and Preserve
Nymph Lake Trail,40.31192,-105.64,1,Rocky Mountain National Park
Copeland Falls to Calypso Cascades,40.20774,-105.566,1,Rocky Mountain National Park
Black Lake Trail,40.31198,-105.6457,5,Rocky Mountain National Park
East Inlet Trail to Lone Pine Lake,40.23919,-105.7996,3,Rocky Mountain National Park
Sandbeach Lake Trail,40.21967,-105.5345,5,Rocky Mountain National Park
Ouzel Lake Trail,40.20762,-105.5666,3,Rocky Mountain National Park
Mills Lake via Glacier Gorge Trail,40.31037,-105.6403,3,Rocky Mountain National Park
Alluvial Fan Trail,40.4098,-105.6323,1,Rocky Mountain National Park
West Creek Falls,40.43091,-105.5005,3,Rocky Mountain National Park
Lily Lake,40.30646,-105.5379,1,Rocky Mountain National Park
Bear Lake to Alberta Falls to Mills Lake,40.31206,-105.6463,3,Rocky Mountain National Park
Ute Trail - Tombstone Ridge,40.39341,-105.6953,3,Rocky Mountain National Park
Lawn Lake Trail,40.40715,-105.6262,5,Rocky Mountain National Park
Ouzel Falls via Wild Basin Trail,40.20802,-105.5664,3,Rocky Mountain National Park
The Loch and Lake of Glass,40.31177,-105.6449,3,Rocky Mountain National Park
